Unnamed: 0,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful,period
Leicestershire,1,100.0%,0,0.0%,178,86.8%,27,13.2%,28,70.0%,12,30.0%,26,83.9%,5,16.1%,5,83.3%,1,16.7%,72,92.3%,6,7.7%,11,91.7%,1,8.3%,21,84.0%,4,16.0%,43,91.5%,4,8.5%,49,89.1%,6,10.9%,11,91.7%,1,8.3%,124,78.0%,35,22.0%,15,100.0%,Sep.csv 2018
Lincolnshire,1,100.0%,0,0.0%,125,81.7%,28,18.3%,3,100.0%,0,0.0%,17,77.3%,5,22.7%,0,0.0%,2,100.0%,87,88.8%,11,11.2%,8,72.7%,3,27.3%,24,100.0%,0,0.0%,33,94.3%,2,5.7%,37,78.7%,10,21.3%,11,64.7%,6,35.3%,124,77.5%,36,22.5%,8,100.0%,Sep.csv 2018
Merseyside,0,-,0,-,305,81.8%,68,18.2%,32,76.2%,10,23.8%,14,100.0%,0,0.0%,4,100.0%,0,0.0%,179,94.7%,10,5.3%,16,76.2%,5,23.8%,33,84.6%,6,15.4%,176,95.1%,9,4.9%,107,94.7%,6,5.3%,14,66.7%,7,33.3%,225,87.5%,32,12.5%,19,100.0%,Sep.csv 2018
Metropolitan and City,12,92.3%,1,7.7%,"1,363",68.1%,638,31.9%,142,70.3%,60,29.7%,158,74.2%,55,25.8%,87,79.8%,22,20.2%,687,82.8%,143,17.2%,175,85.0%,31,15.0%,210,81.7%,47,18.3%,917,91.4%,86,8.6%,426,76.1%,134,23.9%,175,83.3%,35,16.7%,964,74.9%,323,25.1%,214,100.0%,Sep.csv 2018
Norfolk,0,-,0,-,158,81.9%,35,18.1%,5,71.4%,2,28.6%,14,93.3%,1,6.7%,4,100.0%,0,0.0%,103,93.6%,7,6.4%,14,93.3%,1,6.7%,45,91.8%,4,8.2%,54,98.2%,1,1.8%,89,93.7%,6,6.3%,6,85.7%,1,14.3%,134,92.4%,11,7.6%,10,100.0%,Sep.csv 2018
Northamptonshire,0,-,0,-,126,84.6%,23,15.4%,8,88.9%,1,11.1%,9,75.0%,3,25.0%,0,0,0,0,54,91.5%,5,8.5%,5,100.0%,0,0.0%,15,100.0%,0,0.0%,22,91.7%,2,8.3%,21,84.0%,4,16.0%,4,100.0%,0,0.0%,95,89.6%,11,10.4%,16,100.0%,Sep.csv 2018
Northumbria,2,100.0%,0,0.0%,242,75.2%,80,24.8%,52,69.3%,23,30.7%,49,87.5%,7,12.5%,9,90.0%,1,10.0%,231,92.8%,18,7.2%,23,82.1%,5,17.9%,66,88.0%,9,12.0%,58,82.9%,12,17.1%,157,86.7%,24,13.3%,12,92.3%,1,7.7%,185,84.9%,33,15.1%,11,100.0%,Sep.csv 2018
North Wales,0,0.0%,1,100.0%,187,83.1%,38,16.9%,14,82.4%,3,17.6%,22,95.7%,1,4.3%,2,100.0%,0,0.0%,108,93.1%,8,6.9%,5,100.0%,0,0.0%,24,92.3%,2,7.7%,32,94.1%,2,5.9%,67,93.1%,5,6.9%,7,100.0%,0,0.0%,138,91.4%,13,8.6%,5,100.0%,Sep.csv 2018
North Yorkshire,1,100.0%,0,0.0%,112,89.6%,13,10.4%,10,76.9%,3,23.1%,22,95.7%,1,4.3%,0,0,0,0,88,94.6%,5,5.4%,10,76.9%,3,23.1%,22,88.0%,3,12.0%,30,90.9%,3,9.1%,50,87.7%,7,12.3%,15,78.9%,4,21.1%,124,91.9%,11,8.1%,14,100.0%,Sep.csv 2018
Nottinghamshire,4,100.0%,0,0.0%,247,78.9%,66,21.1%,28,77.8%,8,22.2%,23,85.2%,4,14.8%,9,81.8%,2,18.2%,150,92.0%,13,8.0%,16,94.1%,1,5.9%,44,88.0%,6,12.0%,87,89.7%,10,10.3%,69,88.5%,9,11.5%,12,85.7%,2,14.3%,139,88.5%,18,11.5%,25,100.0%,Sep.csv 2018
South Wales,2,100.0%,0,0.0%,382,74.5%,131,25.5%,27,69.2%,12,30.8%,27,77.1%,8,22.9%,6,100.0%,0,0.0%,252,92.3%,21,7.7%,24,85.7%,4,14.3%,61,89.7%,7,10.3%,114,95.8%,5,4.2%,146,78.9%,39,21.1%,14,87.5%,2,12.5%,225,74.5%,77,25.5%,11,100.0%,Sep.csv 2018
South Yorkshire,3,75.0%,1,25.0%,209,74.9%,70,25.1%,14,87.5%,2,12.5%,40,87.0%,6,13.0%,25,100.0%,0,0.0%,157,85.3%,27,14.7%,24,85.7%,4,14.3%,48,85.7%,8,14.3%,74,93.7%,5,6.3%,88,90.7%,9,9.3%,13,86.7%,2,13.3%,167,89.8%,19,10.2%,57,100.0%,Sep.csv 2018
Staffordshire,0,-,0,-,194,76.7%,59,23.3%,24,72.7%,9,27.3%,18,81.8%,4,18.2%,5,100.0%,0,0.0%,123,91.1%,12,8.9%,19,86.4%,3,13.6%,34,85.0%,6,15.0%,61,96.8%,2,3.2%,56,82.4%,12,17.6%,18,85.7%,3,14.3%,129,82.7%,27,17.3%,24,100.0%,Sep.csv 2018
Suffolk,2,100.0%,0,0.0%,94,86.2%,15,13.8%,8,80.0%,2,20.0%,5,100.0%,0,0.0%,8,88.9%,1,11.1%,62,96.9%,2,3.1%,7,87.5%,1,12.5%,19,86.4%,3,13.6%,43,95.6%,2,4.4%,41,95.3%,2,4.7%,6,100.0%,0,0.0%,84,95.5%,4,4.5%,8,100.0%,Sep.csv 2018
Surrey,3,100.0%,0,0.0%,129,79.1%,34,20.9%,21,75.0%,7,25.0%,13,92.9%,1,7.1%,1,100.0%,0,0.0%,57,90.5%,6,9.5%,13,86.7%,2,13.3%,21,87.5%,3,12.5%,18,100.0%,0,0.0%,20,90.9%,2,9.1%,10,100.0%,0,0.0%,95,89.6%,11,10.4%,7,100.0%,Sep.csv 2018
Sussex,0,-,0,-,257,79.3%,67,20.7%,28,71.8%,11,28.2%,18,100.0%,0,0.0%,5,55.6%,4,44.4%,90,94.7%,5,5.3%,18,85.7%,3,14.3%,25,86.2%,4,13.8%,71,94.7%,4,5.3%,55,82.1%,12,17.9%,10,100.0%,0,0.0%,180,86.5%,28,13.5%,11,100.0%,Sep.csv 2018
Thames Valley,4,80.0%,1,20.0%,333,76.4%,103,23.6%,46,75.4%,15,24.6%,58,96.7%,2,3.3%,7,70.0%,3,30.0%,233,91.4%,22,8.6%,36,87.8%,5,12.2%,73,89.0%,9,11.0%,98,93.3%,7,6.7%,81,89.0%,10,11.0%,32,97.0%,1,3.0%,318,88.8%,40,11.2%,30,100.0%,Sep.csv 2018
Warwickshire,0,-,0,-,65,80.2%,16,19.8%,9,69.2%,4,30.8%,13,92.9%,1,7.1%,3,100.0%,0,0.0%,42,82.4%,9,17.6%,10,90.9%,1,9.1%,9,69.2%,4,30.8%,21,91.3%,2,8.7%,19,82.6%,4,17.4%,4,100.0%,0,0.0%,78,78.8%,21,21.2%,11,100.0%,Sep.csv 2018
West Mercia,6,100.0%,0,0.0%,220,78.6%,60,21.4%,20,69.0%,9,31.0%,25,83.3%,5,16.7%,4,66.7%,2,33.3%,112,93.3%,8,6.7%,16,80.0%,4,20.0%,41,89.1%,5,10.9%,56,96.6%,2,3.4%,75,92.6%,6,7.4%,11,84.6%,2,15.4%,190,87.6%,27,12.4%,12,100.0%,Sep.csv 2018
West Midlands,11,91.7%,1,8.3%,609,78.0%,172,22.0%,66,74.2%,23,25.8%,63,82.9%,13,17.1%,30,76.9%,9,23.1%,446,94.5%,26,5.5%,59,84.3%,11,15.7%,89,84.8%,16,15.2%,211,94.2%,13,5.8%,253,86.9%,38,13.1%,69,82.1%,15,17.9%,280,80.5%,68,19.5%,92,100.0%,Sep.csv 2018
West Yorkshire,5,71.4%,2,28.6%,446,85.9%,73,14.1%,71,68.3%,33,31.7%,84,94.4%,5,5.6%,15,93.8%,1,6.3%,243,94.2%,15,5.8%,34,85.0%,6,15.0%,70,84.3%,13,15.7%,137,96.5%,5,3.5%,154,91.1%,15,8.9%,24,75.0%,8,25.0%,236,91.8%,21,8.2%,51,100.0%,Sep.csv 2018
Wiltshire,0,-,0,-,85,86.7%,13,13.3%,12,100.0%,0,0.0%,7,87.5%,1,12.5%,0,0,0,0,58,98.3%,1,1.7%,8,100.0%,0,0.0%,13,92.9%,1,7.1%,25,100.0%,0,0.0%,21,87.5%,3,12.5%,7,87.5%,1,12.5%,64,97.0%,2,3.0%,4,100.0%,Sep.csv 2018
National,91,74.0%,32,26.0%,"10,147",79.4%,"2,630",20.6%,959,74.5%,329,25.5%,"1,098",85.8%,181,14.2%,366,79.6%,94,20.4%,"6,342",92.0%,555,8.0%,902,87.8%,125,12.2%,"1,847",86.3%,293,13.7%,"3,752",93.8%,249,6.2%,"3,272",86.4%,516,13.6%,813,89.5%,95,10.5%,"7,932",86.9%,"1,191",13.1%,976,100.0%,Jan.csv 2018
Avon and Somerset,1,50.0%,1,50.0%,306,83.6%,60,16.4%,43,79.6%,11,20.4%,20,76.9%,6,23.1%,10,71.4%,4,28.6%,149,91.4%,14,8.6%,20,100.0%,0,0.0%,46,86.8%,7,13.2%,100,92.6%,8,7.4%,91,88.3%,12,11.7%,12,100.0%,0,0.0%,228,89.1%,28,10.9%,24,100.0%,Jan.csv 2018
Bedfordshire,0,0.0%,1,100.0%,112,78.3%,31,21.7%,5,83.3%,1,16.7%,12,92.3%,1,7.7%,2,66.7%,1,33.3%,67,93.1%,5,6.9%,10,83.3%,2,16.7%,11,84.6%,2,15.4%,31,96.9%,1,3.1%,23,85.2%,4,14.8%,5,83.3%,1,16.7%,85,75.2%,28,24.8%,15,100.0%,Jan.csv 2018
Cambridgeshire,2,100.0%,0,0.0%,131,76.2%,41,23.8%,5,100.0%,0,0.0%,14,82.4%,3,17.6%,3,100.0%,0,0.0%,77,91.7%,7,8.3%,13,86.7%,2,13.3%,13,81.3%,3,18.8%,18,100.0%,0,0.0%,27,77.1%,8,22.9%,2,28.6%,5,71.4%,99,85.3%,17,14.7%,13,100.0%,Jan.csv 2018
Cheshire,2,100.0%,0,0.0%,237,82.6%,50,17.4%,26,83.9%,5,16.1%,27,100.0%,0,0.0%,7,100.0%,0,0.0%,126,92.0%,11,8.0%,22,88.0%,3,12.0%,27,84.4%,5,15.6%,91,95.8%,4,4.2%,131,96.3%,5,3.7%,15,100.0%,0,0.0%,262,89.4%,31,10.6%,10,100.0%,Jan.csv 2018
Cleveland,1,100.0%,0,0.0%,88,76.5%,27,23.5%,6,85.7%,1,14.3%,27,79.4%,7,20.6%,3,50.0%,3,50.0%,256,97.0%,8,3.0%,12,100.0%,0,0.0%,30,88.2%,4,11.8%,55,90.2%,6,9.8%,66,85.7%,11,14.3%,9,100.0%,0,0.0%,85,93.4%,6,6.6%,5,100.0%,Jan.csv 2018
Cumbria,3,100.0%,0,0.0%,145,91.8%,13,8.2%,2,100.0%,0,0.0%,13,86.7%,2,13.3%,0,0,0,0,91,93.8%,6,6.2%,7,100.0%,0,0.0%,18,90.0%,2,10.0%,35,100.0%,0,0.0%,41,95.3%,2,4.7%,4,100.0%,0,0.0%,109,92.4%,9,7.6%,6,100.0%,Jan.csv 2018
Derbyshire,0,-,0,-,215,76.2%,67,23.8%,7,70.0%,3,30.0%,14,73.7%,5,26.3%,1,50.0%,1,50.0%,170,89.0%,21,11.0%,23,95.8%,1,4.2%,41,78.8%,11,21.2%,55,94.8%,3,5.2%,81,84.4%,15,15.6%,19,90.5%,2,9.5%,183,92.4%,15,7.6%,16,100.0%,Jan.csv 2018
Devon and Cornwall,1,100.0%,0,0.0%,205,88.4%,27,11.6%,11,100.0%,0,0.0%,20,100.0%,0,0.0%,9,90.0%,1,10.0%,78,92.9%,6,7.1%,7,77.8%,2,22.2%,53,94.6%,3,5.4%,44,97.8%,1,2.2%,80,93.0%,6,7.0%,11,100.0%,0,0.0%,215,91.1%,21,8.9%,11,100.0%,Jan.csv 2018
Dorset,2,100.0%,0,0.0%,140,84.8%,25,15.2%,16,84.2%,3,15.8%,17,85.0%,3,15.0%,2,100.0%,0,0.0%,71,95.9%,3,4.1%,12,100.0%,0,0.0%,22,88.0%,3,12.0%,44,95.7%,2,4.3%,33,76.7%,10,23.3%,9,100.0%,0,0.0%,139,93.3%,10,6.7%,17,100.0%,Jan.csv 2018
Durham,2,100.0%,0,0.0%,113,83.7%,22,16.3%,4,100.0%,0,0.0%,21,84.0%,4,16.0%,3,75.0%,1,25.0%,103,91.2%,10,8.8%,9,81.8%,2,18.2%,32,82.1%,7,17.9%,10,90.9%,1,9.1%,23,82.1%,5,17.9%,7,77.8%,2,22.2%,90,96.8%,3,3.2%,6,100.0%,Jan.csv 2018
Dyfed Powys,0,-,0,-,83,86.5%,13,13.5%,8,72.7%,3,27.3%,6,100.0%,0,0.0%,0,0,0,0,64,98.5%,1,1.5%,1,100.0%,0,0.0%,34,94.4%,2,5.6%,76,96.2%,3,3.8%,27,87.1%,4,12.9%,1,100.0%,0,0.0%,86,88.7%,11,11.3%,3,100.0%,Jan.csv 2018
Essex,3,100.0%,0,0.0%,274,79.0%,73,21.0%,30,73.2%,11,26.8%,34,100.0%,0,0.0%,5,55.6%,4,44.4%,156,93.4%,11,6.6%,20,83.3%,4,16.7%,38,86.4%,6,13.6%,82,92.1%,7,7.9%,55,82.1%,12,17.9%,15,88.2%,2,11.8%,259,82.5%,55,17.5%,35,100.0%,Jan.csv 2018
Gloucestershire,1,100.0%,0,0.0%,96,87.3%,14,12.7%,3,100.0%,0,0.0%,5,71.4%,2,28.6%,2,100.0%,0,0.0%,57,90.5%,6,9.5%,6,85.7%,1,14.3%,12,100.0%,0,0.0%,22,95.7%,1,4.3%,19,82.6%,4,17.4%,1,100.0%,0,0.0%,63,92.6%,5,7.4%,5,100.0%,Jan.csv 2018
GreaterManchester,6,75.0%,2,25.0%,476,87.2%,70,12.8%,56,70.0%,24,30.0%,43,82.7%,9,17.3%,24,96.0%,1,4.0%,127,94.8%,7,5.2%,32,91.4%,3,8.6%,85,92.4%,7,7.6%,84,93.3%,6,6.7%,165,89.7%,19,10.3%,30,93.8%,2,6.3%,294,84.7%,53,15.3%,23,100.0%,Jan.csv 2018
Gwent,0,-,0,-,67,75.3%,22,24.7%,12,75.0%,4,25.0%,7,53.8%,6,46.2%,5,100.0%,0,0.0%,65,92.9%,5,7.1%,4,100.0%,0,0.0%,25,86.2%,4,13.8%,44,93.6%,3,6.4%,33,86.8%,5,13.2%,5,100.0%,0,0.0%,105,89.7%,12,10.3%,7,100.0%,Jan.csv 2018
Hampshire,3,75.0%,1,25.0%,359,83.7%,70,16.3%,29,82.9%,6,17.1%,33,91.7%,3,8.3%,13,92.9%,1,7.1%,230,95.0%,12,5.0%,26,78.8%,7,21.2%,53,84.1%,10,15.9%,85,94.4%,5,5.6%,72,91.1%,7,8.9%,16,76.2%,5,23.8%,255,90.4%,27,9.6%,21,100.0%,Jan.csv 2018
Hertfordshire,0,-,0,-,167,80.3%,41,19.7%,8,88.9%,1,11.1%,22,84.6%,4,15.4%,10,76.9%,3,23.1%,129,92.1%,11,7.9%,19,86.4%,3,13.6%,26,83.9%,5,16.1%,91,97.8%,2,2.2%,48,85.7%,8,14.3%,11,100.0%,0,0.0%,123,84.8%,22,15.2%,17,100.0%,Jan.csv 2018
Humberside,2,100.0%,0,0.0%,156,82.1%,34,17.9%,7,100.0%,0,0.0%,24,85.7%,4,14.3%,5,83.3%,1,16.7%,119,91.5%,11,8.5%,15,100.0%,0,0.0%,43,93.5%,3,6.5%,39,97.5%,1,2.5%,46,86.8%,7,13.2%,11,91.7%,1,8.3%,111,91.7%,10,8.3%,10,100.0%,Jan.csv 2018
Kent,5,62.5%,3,37.5%,295,79.7%,75,20.3%,21,80.8%,5,19.2%,26,78.8%,7,21.2%,6,75.0%,2,25.0%,157,90.8%,16,9.2%,30,83.3%,6,16.7%,50,80.6%,12,19.4%,80,94.1%,5,5.9%,68,85.0%,12,15.0%,21,91.3%,2,8.7%,211,89.8%,24,10.2%,22,100.0%,Jan.csv 2018
Lancashire,4,66.7%,2,33.3%,318,81.7%,71,18.3%,13,92.9%,1,7.1%,48,85.7%,8,14.3%,17,77.3%,5,22.7%,242,91.3%,23,8.7%,25,86.2%,4,13.8%,61,92.4%,5,7.6%,62,91.2%,6,8.8%,125,87.4%,18,12.6%,24,96.0%,1,4.0%,272,87.5%,39,12.5%,11,100.0%,Jan.csv 2018
Leicestershire,1,100.0%,0,0.0%,175,79.5%,45,20.5%,26,68.4%,12,31.6%,15,93.8%,1,6.3%,12,100.0%,0,0.0%,112,91.1%,11,8.9%,14,93.3%,1,6.7%,43,87.8%,6,12.2%,21,95.5%,1,4.5%,57,93.4%,4,6.6%,16,88.9%,2,11.1%,125,81.7%,28,18.3%,15,100.0%,Jan.csv 2018
Lincolnshire,1,100.0%,0,0.0%,143,86.1%,23,13.9%,5,83.3%,1,16.7%,21,84.0%,4,16.0%,2,50.0%,2,50.0%,130,96.3%,5,3.7%,12,100.0%,0,0.0%,21,91.3%,2,8.7%,48,96.0%,2,4.0%,54,85.7%,9,14.3%,18,78.3%,5,21.7%,168,82.0%,37,18.0%,19,100.0%,Jan.csv 2018
Merseyside,5,100.0%,0,0.0%,303,82.3%,65,17.7%,18,62.1%,11,37.9%,22,91.7%,2,8.3%,4,66.7%,2,33.3%,196,96.1%,8,3.9%,31,91.2%,3,8.8%,66,93.0%,5,7.0%,207,94.5%,12,5.5%,80,90.9%,8,9.1%,16,84.2%,3,15.8%,269,89.7%,31,10.3%,17,100.0%,Jan.csv 2018
Metropolitan and City,14,56.0%,11,44.0%,"1,373",69.7%,596,30.3%,127,64.5%,70,35.5%,170,83.3%,34,16.7%,75,80.6%,18,19.4%,756,82.7%,158,17.3%,187,81.0%,44,19.0%,214,78.4%,59,21.6%,936,91.6%,86,8.4%,426,73.7%,152,26.3%,208,89.3%,25,10.7%,991,76.5%,304,23.5%,209,100.0%,Jan.csv 2018
Norfolk,1,100.0%,0,0.0%,184,84.8%,33,15.2%,13,81.3%,3,18.8%,10,90.9%,1,9.1%,4,100.0%,0,0.0%,99,95.2%,5,4.8%,11,100.0%,0,0.0%,47,92.2%,4,7.8%,65,94.2%,4,5.8%,85,92.4%,7,7.6%,15,83.3%,3,16.7%,136,90.1%,15,9.9%,2,100.0%,Jan.csv 2018
Northamptonshire,0,-,0,-,139,81.8%,31,18.2%,5,100.0%,0,0.0%,17,89.5%,2,10.5%,3,100.0%,0,0.0%,63,96.9%,2,3.1%,9,90.0%,1,10.0%,18,90.0%,2,10.0%,33,97.1%,1,2.9%,40,90.9%,4,9.1%,8,100.0%,0,0.0%,105,91.3%,10,8.7%,29,100.0%,Jan.csv 2018
Northumbria,2,50.0%,2,50.0%,289,78.7%,78,21.3%,35,77.8%,10,22.2%,40,80.0%,10,20.0%,2,100.0%,0,0.0%,241,91.6%,22,8.4%,16,94.1%,1,5.9%,70,72.2%,27,27.8%,76,97.4%,2,2.6%,137,82.5%,29,17.5%,18,90.0%,2,10.0%,205,91.9%,18,8.1%,16,100.0%,Jan.csv 2018
North Wales,1,50.0%,1,50.0%,192,84.2%,36,15.8%,20,87.0%,3,13.0%,21,87.5%,3,12.5%,2,50.0%,2,50.0%,116,95.9%,5,4.1%,8,100.0%,0,0.0%,46,90.2%,5,9.8%,43,100.0%,0,0.0%,68,93.2%,5,6.8%,8,88.9%,1,11.1%,141,88.1%,19,11.9%,4,100.0%,Jan.csv 2018
North Yorkshire,0,-,0,-,90,84.9%,16,15.1%,3,75.0%,1,25.0%,8,80.0%,2,20.0%,9,100.0%,0,0.0%,83,93.3%,6,6.7%,4,100.0%,0,0.0%,21,91.3%,2,8.7%,27,81.8%,6,18.2%,27,90.0%,3,10.0%,2,100.0%,0,0.0%,89,96.7%,3,3.3%,10,100.0%,Jan.csv 2018
Nottinghamshire,3,75.0%,1,25.0%,224,77.8%,64,22.2%,38,84.4%,7,15.6%,24,92.3%,2,7.7%,9,90.0%,1,10.0%,180,93.8%,12,6.3%,16,88.9%,2,11.1%,46,82.1%,10,17.9%,122,91.7%,11,8.3%,76,87.4%,11,12.6%,27,93.1%,2,6.9%,142,89.3%,17,10.7%,25,100.0%,Jan.csv 2018
South Wales,0,-,0,-,393,76.8%,119,23.2%,32,61.5%,20,38.5%,21,77.8%,6,22.2%,5,71.4%,2,28.6%,218,96.0%,9,4.0%,50,94.3%,3,5.7%,60,81.1%,14,18.9%,170,95.5%,8,4.5%,116,85.3%,20,14.7%,31,93.9%,2,6.1%,252,89.7%,29,10.3%,15,100.0%,Jan.csv 2018
South Yorkshire,1,50.0%,1,50.0%,202,78.3%,56,21.7%,11,91.7%,1,8.3%,43,89.6%,5,10.4%,9,60.0%,6,40.0%,144,97.3%,4,2.7%,21,87.5%,3,12.5%,61,95.3%,3,4.7%,71,92.2%,6,7.8%,95,90.5%,10,9.5%,20,87.0%,3,13.0%,149,87.1%,22,12.9%,20,100.0%,Jan.csv 2018
Staffordshire,0,-,0,-,201,78.2%,56,21.8%,21,67.7%,10,32.3%,24,80.0%,6,20.0%,3,50.0%,3,50.0%,117,92.1%,10,7.9%,10,83.3%,2,16.7%,40,85.1%,7,14.9%,60,93.8%,4,6.3%,65,94.2%,4,5.8%,19,95.0%,1,5.0%,158,85.4%,27,14.6%,30,100.0%,Jan.csv 2018
Suffolk,1,100.0%,0,0.0%,119,87.5%,17,12.5%,5,100.0%,0,0.0%,7,100.0%,0,0.0%,3,100.0%,0,0.0%,71,97.3%,2,2.7%,6,85.7%,1,14.3%,23,92.0%,2,8.0%,47,95.9%,2,4.1%,37,88.1%,5,11.9%,11,78.6%,3,21.4%,107,91.5%,10,8.5%,9,100.0%,Jan.csv 2018
Surrey,0,0.0%,1,100.0%,136,80.0%,34,20.0%,15,71.4%,6,28.6%,11,100.0%,0,0.0%,0,0,0,0,68,91.9%,6,8.1%,9,100.0%,0,0.0%,16,94.1%,1,5.9%,56,93.3%,4,6.7%,19,95.0%,1,5.0%,15,100.0%,0,0.0%,137,93.2%,10,6.8%,8,100.0%,Jan.csv 2018
Sussex,0,0.0%,1,100.0%,232,74.4%,80,25.6%,27,71.1%,11,28.9%,17,100.0%,0,0.0%,6,75.0%,2,25.0%,95,96.9%,3,3.1%,15,100.0%,0,0.0%,28,90.3%,3,9.7%,56,96.6%,2,3.4%,51,91.1%,5,8.9%,15,100.0%,0,0.0%,171,87.7%,24,12.3%,16,100.0%,Jan.csv 2018
Thames Valley,2,66.7%,1,33.3%,295,77.8%,84,22.2%,53,69.7%,23,30.3%,34,89.5%,4,10.5%,10,83.3%,2,16.7%,179,92.3%,15,7.7%,38,86.4%,6,13.6%,57,81.4%,13,18.6%,114,95.8%,5,4.2%,117,90.7%,12,9.3%,22,91.7%,2,8.3%,331,91.4%,31,8.6%,31,100.0%,Jan.csv 2018
Warwickshire,0,-,0,-,69,81.2%,16,18.8%,7,58.3%,5,41.7%,7,77.8%,2,22.2%,0,0.0%,3,100.0%,69,92.0%,6,8.0%,8,88.9%,1,11.1%,8,80.0%,2,20.0%,14,100.0%,0,0.0%,15,78.9%,4,21.1%,2,66.7%,1,33.3%,72,79.1%,19,20.9%,13,100.0%,Jan.csv 2018
West Mercia,2,100.0%,0,0.0%,195,80.6%,47,19.4%,15,62.5%,9,37.5%,14,73.7%,5,26.3%,6,66.7%,3,33.3%,135,90.6%,14,9.4%,17,81.0%,4,19.0%,48,88.9%,6,11.1%,65,97.0%,2,3.0%,68,97.1%,2,2.9%,16,94.1%,1,5.9%,209,89.3%,25,10.7%,32,100.0%,Jan.csv 2018
West Midlands,12,92.3%,1,7.7%,672,79.2%,177,20.8%,75,80.6%,18,19.4%,75,87.2%,11,12.8%,62,78.5%,17,21.5%,432,90.4%,46,9.6%,59,83.1%,12,16.9%,107,90.7%,11,9.3%,251,93.0%,19,7.0%,269,87.9%,37,12.1%,58,84.1%,11,15.9%,310,85.9%,51,14.1%,128,100.0%,Jan.csv 2018
West Yorkshire,7,77.8%,2,22.2%,431,82.3%,93,17.7%,91,76.5%,28,23.5%,61,89.7%,7,10.3%,12,80.0%,3,20.0%,244,96.1%,10,3.9%,32,97.0%,1,3.0%,65,92.9%,5,7.1%,101,93.5%,7,6.5%,100,94.3%,6,5.7%,29,85.3%,5,14.7%,283,89.8%,32,10.2%,49,100.0%,Jan.csv 2018
Wiltshire,0,-,0,-,107,85.6%,18,14.4%,5,83.3%,1,16.7%,3,100.0%,0,0.0%,1,100.0%,0,0.0%,60,96.8%,2,3.2%,16,100.0%,0,0.0%,22,88.0%,3,12.0%,21,100.0%,0,0.0%,16,80.0%,4,20.0%,11,100.0%,0,0.0%,108,97.3%,3,2.7%,2,100.0%,Jan.csv 2018
National,105,82.7%,22,17.3%,"9,580",78.8%,"2,581",21.2%,"1,043",73.8%,370,26.2%,"1,161",88.2%,156,11.8%,302,74.2%,105,25.8%,"6,391",92.4%,526,7.6%,874,87.1%,129,12.9%,"1,694",86.9%,255,13.1%,"3,583",94.3%,216,5.7%,"3,081",86.4%,487,13.6%,747,87.0%,112,13.0%,"7,287",85.8%,"1,204",14.2%,902,100.0%,Oct.csv 2018
Avon and Somerset,2,100.0%,0,0.0%,277,82.4%,59,17.6%,54,70.1%,23,29.9%,21,84.0%,4,16.0%,9,90.0%,1,10.0%,150,92.6%,12,7.4%,21,87.5%,3,12.5%,57,87.7%,8,12.3%,110,95.7%,5,4.3%,70,86.4%,11,13.6%,8,88.9%,1,11.1%,180,86.5%,28,13.5%,35,100.0%,Oct.csv 2018
Bedfordshire,1,100.0%,0,0.0%,76,64.4%,42,35.6%,4,100.0%,0,0.0%,10,90.9%,1,9.1%,9,75.0%,3,25.0%,74,83.1%,15,16.9%,10,83.3%,2,16.7%,23,92.0%,2,8.0%,36,97.3%,1,2.7%,25,67.6%,12,32.4%,8,88.9%,1,11.1%,79,77.5%,23,22.5%,19,100.0%,Oct.csv 2018
